"Region","Lat","Long","TotalCases","Average","SD"
"United Kingdom/Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,353859,309.587926509186,736.684978377622
"United Kingdom/Turks and Caicos Islands",21.694,-71.7979,3654433,3197.22922134733,2500.96184753449
"United Kingdom/",55.3781,-3.436,12024062456,10519739.6815398,9635805.04864423
"Uruguay/",-32.5228,-55.7658,498924080,436504.006999125,410246.24076399
"Uzbekistan/",41.377491,64.585262,160141741,140106.510061242,92650.4851116091
"Vanuatu/",-15.3767,166.9592,3782631,3309.38845144357,5116.23054614798
"Venezuela/",6.4238,-66.5897,341179029,298494.338582677,214249.488024904
"Vietnam/",14.058324,108.277199,4314591370,3774795.59930009,5005278.4887927
"West Bank and Gaza/",31.9522,35.2332,412543696,360930.617672791,273109.387302947
"Winter Olympics 2022/",39.9042,116.4074,214462,187.630796150481,253.295574690117
"Yemen/",15.552727,48.516388,7879435,6893.64391951006,4671.27472730938
"Zambia/",-13.133897,27.849332,195953683,171438.042869641,137279.755196432
"Zimbabwe/",-19.015438,29.154857,140385286,122821.772528434,109511.544388948
